Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,gql/comment_events,35,0,540,571.7238257144345,476.7416999966372,1006.6311000118731,17340.0,0.11754231850517453,0.0,540,620,640,640,670,680,1000,1000,1000,1000,1000
POST,gql/overfetch_partial,29,0,510,518.231058621213,326.1326999927405,867.6150999963284,1389.0,0.09739220676143033,0.0,510,540,560,570,630,780,870,870,870,870,870
POST,gql/project_comments,66,0,540,537.5227575747307,349.08749999885913,795.1372000097763,39924.0,0.22165122918118627,0.0,540,550,560,570,610,710,740,800,800,800,800
POST,gql/topic_events,27,0,530,563.4203444426896,480.18040000170004,943.2110000052489,19637.0,0.09067550284684893,0.0,530,540,620,620,680,790,940,940,940,940,940
POST,gql/topic_full,73,0,550,557.8434890405632,339.7562000027392,1002.6594999944791,31133.0,0.2451596928822212,0.0,550,560,580,580,660,720,900,1000,1000,1000,1000
POST,gql/topics_flat,25,0,520,511.7344280000543,360.5348999990383,618.6766000028001,17105.0,0.08395879893226753,0.0,520,540,540,540,550,570,620,620,620,620,620
POST,gql/topics_nested,98,0,550,541.6372561232158,333.44239999132697,851.1578999896301,12129.0,0.3291184918144887,0.0,550,560,570,570,630,680,810,850,850,850,850
,Aggregated,353,0,540,544.8279671386483,326.1326999927405,1006.6311000118731,21816.827195467424,1.1854982409236174,0.0,540,550,570,570,640,690,800,900,1000,1000,1000
