Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,gql/comment_events,196,0,460,485.66062142820056,326.58720000472385,952.5750000029802,17340.0,0.6552037132303488,0.0,460,520,550,570,670,810,880,950,950,950,950
POST,gql/overfetch_partial,179,0,380,428.72855586577634,319.7174999950221,899.9767000059364,1389.0,0.5983748197358797,0.0,380,430,490,510,610,690,800,840,900,900,900
POST,gql/project_comments,353,0,430,468.8752337110561,335.3951000026427,1062.4584000033792,39924.0,1.1800352590322098,0.0,430,480,510,550,650,690,740,840,1100,1100,1100
POST,gql/topic_events,174,0,460,497.91764482732356,327.9995000048075,1414.456300000893,19637.0,0.58166043929633,0.0,480,520,550,560,720,840,880,1100,1400,1400,1400
POST,gql/topic_full,311,0,400,459.2129337625976,333.6643000075128,1033.1197999912547,31133.0,1.039634463339992,0.0,400,460,530,550,650,740,770,830,1000,1000,1000
POST,gql/topics_flat,181,0,400,453.8750850824827,327.8845999884652,997.0853000122588,17105.0,0.6050605719116996,0.0,400,460,520,540,630,680,930,960,1000,1000,1000
POST,gql/topics_nested,566,0,390,443.0274851586003,322.3890999943251,892.103699996369,12129.0,1.8920678657570276,0.0,390,460,510,540,620,670,730,790,890,890,890
,Aggregated,1960,0,410,459.0830053059813,319.7174999950221,1414.456300000893,20816.66479591837,6.552037132303488,0.0,410,480,530,550,640,710,810,870,1100,1400,1400
